Date,Open,High,Low,FTSE100_Close,Adj Close,Volume,Bitcoin_Price_GBP,FTSE100_7Day_SMA,FTSE100_30Day_SMA,FTSE100_7Day_EMA,FTSE100_30Day_EMA,FTSE100_Return,Bitcoin_Return,FTSE100_Volatility,Bitcoin_Volatility
2019-08-23,7128.2001953125,7188.60009765625,7095.0,7095.0,7095.0,643009300,8476.923828125,7132.300083705357,7361.853369140625,7147.478225692252,7305.555569055125,-0.004657584579952245,0.02522307395310941,,
2019-08-27,7095.0,7110.7998046875,7044.7001953125,7089.60009765625,7089.60009765625,851399100,8292.3515625,7135.528669084822,7347.11669921875,7133.008693683251,7291.622957997133,-0.0007610856016561085,-0.021773495830246903,,
2019-08-28,7089.60009765625,7131.2001953125,7050.0,7114.7001953125,7114.7001953125,675638900,7983.84912109375,7135.171526227678,7331.700032552083,7128.431569090563,7280.208586211028,0.003540410927345139,-0.037203251584432606,,
2019-08-29,7114.7001953125,7199.2001953125,7103.10009765625,7184.2998046875,7184.2998046875,635681800,7804.20361328125,7134.400041852678,7319.993359375,7142.398627989797,7274.02092288693,0.009782507690324849,-0.02250111507466579,,
2019-08-30,7184.2998046875,7240.39990234375,7179.7001953125,7207.2001953125,7207.2001953125,727868800,7893.8740234375,7146.142926897322,7310.463362630208,7158.599019820473,7269.709908204709,0.003187560548358226,0.011490014176930075,,
2019-09-02,7207.2001953125,7315.2998046875,7206.89990234375,7281.89990234375,7281.89990234375,497764900,8575.8505859375,7157.271484375,7302.903352864583,7189.424240451292,7270.496359439486,0.01036459443430382,0.08639313985441888,,
2019-09-03,7281.89990234375,7301.5,7239.10009765625,7268.2001953125,7268.2001953125,626095300,8785.59375,7177.271484375,7294.680029296875,7209.118229166594,7270.34821981839,-0.0018813369058864327,0.024457418183851276,,
2019-09-04,7268.2001953125,7334.60009765625,7268.2001953125,7311.2998046875,7311.2998046875,677444300,8651.2509765625,7208.171456473215,7286.493359375,7234.66362304682,7272.990257551881,0.005929887484771967,-0.015291257171719308,,
2019-09-05,7311.2998046875,7330.7001953125,7250.60009765625,7271.2001953125,7271.2001953125,711302800,8581.7490234375,7234.114327566965,7278.81669921875,7243.79776611324,7272.874769665469,-0.005484607449593448,-0.008033746022776511,,
2019-09-06,7271.2001953125,7284.10009765625,7244.10009765625,7282.2998046875,7282.2998046875,692287900,8428.6240234375,7258.05712890625,7271.923356119792,7253.423275756805,7273.482836441085,0.0015265168165987664,-0.01784309930083039,,
2019-09-09,7282.2998046875,7325.2001953125,7206.0,7235.7998046875,7235.7998046875,794831900,8371.9287109375,7265.414271763393,7261.480013020833,7249.017407989479,7271.051673102145,-0.006385345460519054,-0.006726520526048718,,
