Date,Open,High,Low,FTSE100_Close,Adj Close,Volume,FTSE100_7Day_EMA,FTSE100_30Day_EMA,FTSE100_7Day_SMA,FTSE100_30Day_SMA,Bitcoin_Price_GBP,FTSE100_Return,Bitcoin_Return
2019-08-27,7095.0,7110.7998046875,7044.7001953125,7089.60009765625,7089.60009765625,851399100,7133.016819168354,7297.7761507320365,7135.528669084822,7347.11669921875,8292.3515625,-0.0007610856016561085,-0.021773495830246903
2019-08-28,7089.60009765625,7131.2001953125,7050.0,7114.7001953125,7114.7001953125,675638900,7128.43766320439,7285.964798769486,7135.171526227678,7331.700032552083,7983.84912109375,0.003540410927345139,-0.037203251584432606
2019-08-29,7114.7001953125,7199.2001953125,7103.10009765625,7184.2998046875,7184.2998046875,635681800,7142.403198575168,7279.405766893229,7134.400041852678,7319.993359375,7804.20361328125,0.009782507690324849,-0.02250111507466579
2019-08-30,7184.2998046875,7240.39990234375,7179.7001953125,7207.2001953125,7207.2001953125,727868800,7158.602447759501,7274.747342920279,7146.142926897322,7310.463362630208,7893.8740234375,0.003187560548358226,0.011490014176930075
2019-09-02,7207.2001953125,7315.2998046875,7206.89990234375,7281.89990234375,7281.89990234375,497764900,7189.426811405563,7275.208798366955,7157.271484375,7302.903352864583,8575.8505859375,0.01036459443430382,0.08639313985441888
2019-09-03,7281.89990234375,7301.5,7239.10009765625,7268.2001953125,7268.2001953125,626095300,7209.120157382297,7274.756630427958,7177.271484375,7294.680029296875,8785.59375,-0.0018813369058864327,0.024457418183851276
2019-09-04,7268.2001953125,7334.60009765625,7268.2001953125,7311.2998046875,7311.2998046875,677444300,7234.665069208598,7277.114254573735,7208.171456473215,7286.493359375,8651.2509765625,0.005929887484771967,-0.015291257171719308
2019-09-05,7311.2998046875,7330.7001953125,7250.60009765625,7271.2001953125,7271.2001953125,711302800,7243.7988507345735,7276.7327023633325,7234.114327566965,7278.81669921875,8581.7490234375,-0.005484607449593448,-0.008033746022776511
2019-09-06,7271.2001953125,7284.10009765625,7244.10009765625,7282.2998046875,7282.2998046875,692287900,7253.424089222805,7277.091870255215,7258.05712890625,7271.923356119792,8428.6240234375,0.0015265168165987664,-0.01784309930083039
2019-09-09,7282.2998046875,7325.2001953125,7206.0,7235.7998046875,7235.7998046875,794831900,7249.018018088979,7274.427866025041,7265.414271763393,7261.480013020833,8371.9287109375,-0.006385345460519054,-0.006726520526048718
